group,day,wafer,n_samples,n_features,duration_s
Day_2024_08_01_Wafer_03,2024_08_01,3,3247,31,690.420000076294
Day_2024_08_01_Wafer_04,2024_08_01,4,3247,31,690.4900000095367
Day_2024_08_01_Wafer_05,2024_08_01,5,3246,31,689.9099998474121
Day_2024_08_01_Wafer_06,2024_08_01,6,3297,31,700.5299999713898
Day_2024_08_01_Wafer_07,2024_08_01,7,3298,31,700.9900000095367
Day_2024_08_01_Wafer_08,2024_08_01,8,3246,31,690.1600000858307
Day_2024_08_01_Wafer_09,2024_08_01,9,3245,31,689.9700000286102
Day_2024_08_01_Wafer_10,2024_08_01,10,3245,31,648.7999999523163
Day_2024_08_21_Wafer_01,2024_08_21,1,3245,31,648.7999999523163
Day_2024_08_21_Wafer_02,2024_08_21,2,3245,31,648.7999999523163
Day_2024_08_21_Wafer_03,2024_08_21,3,3246,31,649.0
Day_2024_08_21_Wafer_04,2024_08_21,4,3246,31,649.0
Day_2024_08_21_Wafer_05,2024_08_21,5,3246,31,649.0
Day_2024_08_21_Wafer_06,2024_08_21,6,3298,31,659.4000000953674
Day_2024_08_21_Wafer_07,2024_08_21,7,3246,31,649.0
Day_2024_08_21_Wafer_08,2024_08_21,8,3245,31,648.7999999523163
Day_2024_08_21_Wafer_09,2024_08_21,9,3193,31,638.3999998569489
Day_2024_08_21_Wafer_10,2024_08_21,10,3245,31,648.8000001907349
Day_2024_08_05_Wafer_01,2024_08_05,1,3245,31,690.4300000667572
Day_2024_08_05_Wafer_02,2024_08_05,2,3247,31,690.460000038147
Day_2024_08_05_Wafer_03,2024_08_05,3,3299,31,701.0
Day_2024_08_05_Wafer_04,2024_08_05,4,3247,31,690.4299998283386
Day_2024_08_05_Wafer_05,2024_08_05,5,3247,31,690.7200000286102
Day_2024_08_05_Wafer_06,2024_08_05,6,3247,31,690.2000000476837
